"","package","version","risk_date","risk_version","pkg_score","rank_score","news_current","has_vignettes","size_codebase","has_bug_reports_url","bugs_status","license","export_help","reverse_dependencies","downloads_1yr","dependencies","has_website","r_cmd_check","remote_checks","has_maintainer","exported_namespace","has_news","has_source_control","covr_coverage"
"10136","changeRangeR","1.0.2",2023-06-21,"0.2.1",0.5274516,10136,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.182425523806356,0,NA,0.769230769230769,1,NA,1,0,NA
"10137","spinBayes","0.1.0",2023-06-21,"0.2.1",0.5274516,10137,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.182425523806356,1,NA,0.769230769230769,1,NA,0,1,NA
"10138","tidySEM","0.2.4",2023-06-21,"0.2.1",0.5275188,10138,0,1,NA,1,NA,NA,NA,0.350228721939924,NA,0.000911051194400603,1,NA,0.846153846153846,1,NA,0,0,NA
"10139","pcaL1","1.5.7",2023-06-21,"0.2.1",0.5279487,10139,1,0,NA,0,NA,NA,NA,0.350228721939924,NA,0.880797077977882,0,NA,0.961538461538462,1,NA,1,0,NA
"10140","ClickClust","1.1.5",2023-06-21,"0.2.1",0.5279487,10140,1,0,NA,0,NA,NA,NA,0.350228721939924,NA,0.880797077977882,0,NA,0.961538461538462,1,NA,1,0,NA
"10141","CDMConnector","1.0.0",2023-06-21,"0.2.1",0.5279535,10141,1,1,NA,0,NA,NA,NA,0.5,NA,0.000203426978055199,0,NA,0.692307692307692,1,NA,1,0,NA
"10142","Rnmr1D","1.3.2",2023-06-21,"0.2.1",0.5282512,10142,0,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.000552778636923601,1,NA,0.942307692307692,1,NA,0,1,NA
"10143","tscount","1.4.3",2023-06-21,"0.2.1",0.5283015,10143,0,1,NA,0,NA,NA,NA,0.246376140522644,NA,NA,1,NA,0.942307692307692,1,NA,1,0,NA
"10144","seas","0.6-0",2023-06-21,"0.2.1",0.5283015,10144,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,NA,1,NA,0.942307692307692,1,NA,0,1,NA
"10145","log","1.1.1",2023-06-21,"0.2.1",0.5283015,10145,1,0,NA,1,NA,NA,NA,0.246376140522644,NA,NA,0,NA,0.942307692307692,1,NA,1,0,NA
"10146","TPLSr","1.0.4",2023-06-21,"0.2.1",0.5283015,10146,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,NA,0,NA,0.942307692307692,1,NA,1,0,NA
"10147","zeroEQpart","0.1.0",2023-06-21,"0.2.1",0.5283015,10147,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,NA,1,NA,0.942307692307692,1,NA,0,1,NA
"10148","Rsagacmd","0.4.1",2023-06-21,"0.2.1",0.5284146,10148,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.0179862099620915,1,NA,0.923076923076923,1,NA,1,0,NA
"10149","Anaconda","0.1.5",2023-06-21,"0.2.1",0.5284146,10149,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.0179862099620915,1,NA,0.923076923076923,1,NA,0,1,NA
"10150","forecastML","0.9.0",2023-06-21,"0.2.1",0.5284146,10150,0,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.0179862099620915,1,NA,0.923076923076923,1,NA,0,1,NA
"10151","mstrio","11.3.5.101",2023-06-21,"0.2.1",0.5284146,10151,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.0179862099620915,0,NA,0.923076923076923,1,NA,1,0,NA
"10152","capm","0.14.0",2023-06-21,"0.2.1",0.5284146,10152,1,0,NA,0,NA,NA,NA,0.246376140522644,NA,0.0179862099620915,1,NA,0.923076923076923,1,NA,1,0,NA
"10153","cartograflow","1.0.3",2023-06-21,"0.2.1",0.5284146,10153,0,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.0179862099620915,1,NA,0.923076923076923,1,NA,0,1,NA
"10154","bayesvl","0.8.5",2023-06-21,"0.2.1",0.5284146,10154,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.0179862099620915,1,NA,0.923076923076923,1,NA,0,1,NA
"10155","regrrr","0.1.3",2023-06-21,"0.2.1",0.5284146,10155,1,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.0179862099620915,0,NA,0.923076923076923,1,NA,1,0,NA
"10156","rbenvo","1.0.5",2023-06-21,"0.2.1",0.5284146,10156,0,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.0179862099620915,1,NA,0.923076923076923,1,NA,0,1,NA
"10157","DoE.wrapper","0.11",2023-06-21,"0.2.1",0.5284246,10157,1,0,NA,0,NA,NA,NA,0.43732917979627,NA,NA,1,NA,0.75,1,NA,1,0,NA
"10158","Ecume","0.9.1",2023-06-21,"0.2.1",0.5284246,10158,1,1,NA,0,NA,NA,NA,0.43732917979627,NA,NA,0,NA,0.75,1,NA,1,0,NA
"10159","abn","2.7-5",2023-06-21,"0.2.1",0.5285349,10159,0,1,NA,1,NA,NA,NA,0.350228721939924,NA,0.0474258731775666,1,NA,0.788461538461538,1,NA,0,0,NA
"10160","NPflow","0.13.3",2023-06-21,"0.2.1",0.5285539,10160,1,0,NA,1,NA,NA,NA,0.398689815024215,NA,0.0179862099620915,0,NA,0.769230769230769,1,NA,1,0,NA
"10161","shrinkTVP","2.0.6",2023-06-21,"0.2.1",0.5285539,10161,1,1,NA,0,NA,NA,NA,0.398689815024215,NA,0.0179862099620915,0,NA,0.769230769230769,1,NA,1,0,NA
"10162","logitnorm","0.8.38",2023-06-21,"0.2.1",0.5289246,10162,0,1,NA,0,NA,NA,NA,0.551032098662781,NA,0.880797077977882,0,NA,0.75,1,NA,1,0,NA
"10163","CENFA","1.1.1",2023-06-21,"0.2.1",0.5290509,10163,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.0109869426305932,0,NA,0.923076923076923,1,NA,1,0,NA
"10164","patternize","0.0.3",2023-06-21,"0.2.1",0.5290509,10164,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.0109869426305932,1,NA,0.923076923076923,1,NA,0,1,NA
"10165","GOCompare","1.0.2.1",2023-06-21,"0.2.1",0.5290509,10165,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.0109869426305932,1,NA,0.923076923076923,1,NA,0,1,NA
"10166","SAEforest","1.0.0",2023-06-21,"0.2.1",0.5290509,10166,0,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.0109869426305932,1,NA,0.923076923076923,1,NA,0,1,NA
"10167","outreg","0.2.2",2023-06-21,"0.2.1",0.5291998,10167,0,0,NA,1,NA,NA,NA,0.246376140522644,NA,0.182425523806356,1,NA,0.75,1,NA,0,1,NA
"10168","treeducken","1.1.0",2023-06-21,"0.2.1",0.5291998,10168,1,1,NA,0,NA,NA,NA,0.246376140522644,NA,0.182425523806356,0,NA,0.75,1,NA,1,0,NA
